doy,newcases
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,1
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,2
2020-03-16,0
2020-03-17,4
2020-03-18,8
2020-03-19,8
2020-03-20,11
2020-03-21,13
2020-03-22,14
2020-03-23,36
2020-03-24,53
2020-03-25,50
2020-03-26,78
2020-03-27,85
2020-03-28,83
2020-03-29,63
2020-03-30,75
2020-03-31,58
2020-04-01,61
2020-04-02,89
2020-04-03,71
2020-04-04,82
2020-04-05,89
2020-04-06,67
2020-04-07,54
2020-04-08,50
2020-04-09,29
2020-04-10,44
2020-04-11,29
2020-04-12,18
2020-04-13,19
2020-04-14,17
2020-04-15,20
2020-04-16,15
2020-04-17,8
2020-04-18,13
2020-04-19,9
2020-04-20,9
2020-04-21,5
2020-04-22,3
2020-04-23,3
2020-04-24,5
2020-04-25,5
2020-04-26,9
2020-04-27,-1
2020-04-28,3
2020-04-29,2
2020-04-30,2
2020-05-01,3
2020-05-02,6
2020-05-03,2
2020-05-04,0
2020-05-05,-1
2020-05-06,2
2020-05-07,1
